a few so free that they are enslaved in pursuit of their follies'',20220829195223
"Template, Dates dates dates (kit)",20220506013731
Words I've used to describe important habits,20220830023515
How can we be responsible pro-active citizens without becoming full-time activists,20220813003209
Flow,20220830000619
What is a note,20220911002552
The Id,20220505061552
Language MOC,20220829214446
2018 - Atomic Habits (book),20220829225318
Places MOC,20220829214158
Four Factors of Flow,20220829220452
Information that crosses our attentional filter becomes knowledge,20220506062418
+ Start Here,20220429053519
Complexity (defn),20220825051121
Natural Selection,20220829215025
"Truffle hunters need to keep perspective, so do parachutists",20220829214056
"Template, Daily Note (kit)",20220825050658
Signal to Noise Ratio,20220825054714
Systems MOC (kit),20220825051121
On having a TODO note,20220829214411
Philosophy MOC (kit),20220829214154
Triangulation-1a (Drawing),20220115182026
Finance MOC,20220829214007
Daily Notes,20220904203254
Bill Russell (kit),20220829221735
Some Greek Allusions,20220829231509
Note-takers,20220909043722
+ About Atlas,20220903011037
Folgezettel - 100a.1a But Also How It,20220813005711
Habits carry a ton of hidden inertia,20220909043621
Priming,20220825051121
Spatial Context,20220809192042
Life Map,20220831003718
Be tempted by power and clip countless articles into your PKM note library.,20220506012231
Thinking MOC,20220829214102
What does X mean in metadata,20220829214654
Efforts,20220831202058
The neural formation of habits is additive,20220829183314
LYT Notes 1 (Example),20220831005426
Deliberate Practice,20220829194915
Changing a habit is really about replacing a routine,20220505220025
Seasons,20220829214732
Commentary on the silliness of trying to maintain an A-Z list of MOCs,20220825083315
Double down and keep collecting.,20220506024221
LYT Kit,20220910222356
No-Face,20220512053552
You are what you eat,20220829230856
Use it or Lose it,20220821051242
People MOC,20220923162947
Balancing Challenge and Skill,20220505230652
Concepts MOC,20220923162736
Wim Hof,20220825051121
+ About Spaces,20220913014938
Elden Ring,20220831003253
Some Allusions from Literature,20220829231436
Understanding the habit cycle and habitual cues,20220829182950
Selfish Gene,20220828211810
Energy (re Flow),20220829215142
Attention (re Flow),20220829232117
The truest habit metaphors are additive - v1,20220510002929
Flow Stoppers,20220505225422
We've already discovered aliens...we just call them bees,20220825031613
Recognize there is a problem and seek solutions.,20220506041046
